Model,Accuracy_Score,Mean_Squared_Error,Rootmean_Squared_error,Mean_Absolute_Error
Linear Regression,0.9474069251352653,0.22653848814742952,0.47596059516248773,0.40562286453699253
Decision Tree Regression,0.9997965860902501,0.004183011295225662,0.06467620346948066,0.032721507013539715
Support vector Regression,0.9900464735639529,0.027455559687858875,0.1656971927579308,0.11551755666188883
