Model,Accuracy,MSE,MAE
Linear Regression,0.9503725896951635,0.3435746907909058,0.5120707084444451
Desicion Tree,1.0,0.0037167214586332647,0.03376000359439486
SVR,0.9703936163602918,0.06385879525445359,0.17644935295990666
