Model,Accuracy_Score,Mean_Squared_Error,Rootmean_Squared_error,Mean_Absolute_Error
Linear Regression,0.8651621901746332,0.5698428426085695,0.7548793563269363,0.6114634765254598
Decision Tree Regression,0.9983052427382866,0.043651561032843754,0.20892955997858167,0.10051641279073699
Support vector Regression,0.992683954346432,0.007548698659807315,0.08688324729087486,0.06116108227089322
