Model,Accuracy_Score,Mean_Squared_Error,Rootmean_Squared_error,Mean_Absolute_Error
Linear Regression,0.92658071937776,0.639808193772468,0.7998801121246033,0.6602363778369971
Decision Tree Regression,0.9999154486921963,0.003804555180409608,0.06168107635579658,0.050681002258543884
Support vector Regression,0.9996568145945454,0.0027167540794165324,0.05212249110908392,0.03017243242094038
