Model,Accuracy,MSE,MAE
Linear Regression,0.8065171439416279,0.936496037359765,0.6757990462538018
Decision Tree,1.0,0.013852524649844104,0.05860507342717702
SVR,0.9958523812221394,0.007813364654126027,0.07713351684604951
