Model,Accuracy_Score,Mean_Squared_Error,Rootmean_Squared_error,Mean_Absolute_Error
Linear Regression,0.9748486900988486,0.3307380679945732,0.5750983115907864,0.4158240998567072
Decision Tree Regression,0.9983767368831858,0.0831669653060616,0.28838683275430865,0.13413822228890976
Support vector Regression,0.9989899096720394,0.009057826197806564,0.09517261264569006,0.05876257001313181
