Model,Accuracy,MSE,MAE
Linear Regression,0.9262734116277926,0.6600681817467204,0.6369207283372421
Desicion Tree,1.0,0.02512178231157724,0.10659673819482816
SVR,0.9990368379192277,0.005149614239357227,0.059905856936770224
