Model,Accuracy,MSE,MAE
Linear Regression,0.8460096802065764,2.409229690402051,1.3073996140906947
Desicion Tree,1.0,0.04132092507558901,0.08577952864015481
SVR,0.9887852139085485,0.09344010892235899,0.18166508616928892
