Model,Accuracy_Score,Mean_Squared_Error,Rootmean_Squared_error,Mean_Absolute_Error
Linear Regression,0.9155857376848613,0.7760372092513489,0.8809297413819952,0.7320114827538791
Decision Tree Regression,0.9997914175984609,0.011988113356057907,0.10949024320028661,0.07078808821008029
Support vector Regression,0.997633206507221,0.020404158331300097,0.14284312490036088,0.07739913044717495
