Model,Accuracy_Score,Mean_Squared_Error,Rootmean_Squared_error,Mean_Absolute_Error
Linear Regression,0.9123126914793865,0.28433493132734694,0.533230654902123,0.4872655366965836
Decision Tree Regression,0.9998946406029102,0.0020732781788798497,0.04553326453132753,0.02770072988196568
Support vector Regression,0.9818841774556747,0.013341365739536966,0.11550482994029715,0.08518730093254329
