Model,Accuracy_Score,Mean_Squared_Error,Rootmean_Squared_error,Mean_Absolute_Error
Linear Regression,0.9067068164331228,0.20949062378862565,0.4577014570532037,0.4000668490158458
Decision Tree Regression,0.9989144930441846,0.008960287220334045,0.09465879367673162,0.05441694667081704
Support vector Regression,0.9985152121667817,0.005139966560174518,0.07169356010252607,0.05016613516159137
