Model,Accuracy,MSE,MAE
Linear Regression,0.8364146693832659,2.1029723044777016,1.287730585230028
Desicion Tree,1.0,0.03594055902439341,0.09422462705781165
SVR,0.9966171450064416,0.029022263874146772,0.12046304992480476
